Compound,logkpl,MLogP,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,WPATH,WPOL,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,HybRatio,nAtom,nAromBond,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,ALogP,ALogp2,AMR,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.aaS,khs.ddssS,khs.sCl,khs.sBr,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,Fsp3,PetitjeanNumber,topoShape,bpol,VABC,ECCEN,VAdjMat,JPLogP,nAtomLC,nAcid,XLogP,apol,LipinskiFailures,Zagreb,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,nRotB,FMF,TopoPSA,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,tpsaEfficiency,nAtomP,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,fragC,Kier1,Kier2,Kier3,naAromAtom,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB,MolIP
Aldosterone,-4.522878745280337,3.22,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1436.0,56.0,2.589570774,0.201184464,0.956273786,0.166250657,1.903437922,0.170103454,0.723086436,0.127521397,0.761904762,54.0,0.0,0.0,2.457606667,2.265327594,0.894427191,11.28130506,25.21465919,7.002074367,9.050330552,6.788339318,0.25,1.498948191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118,1.249924,97.0165,1.0,0.0,8.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7158077,16.0089239,-0.420791535,0.339639894,4.482173281,12.68194248,0.0,0.761904762,0.5,1.0,33.483796,355.7515997,496.0,5.857980995,2.064356087,4.0,0.0,0.257,59.640204,0.0,150.0,53.25092942,2.04811267,12.56720382,12.56720382,0.0,18.68986997,12.36919303,11.79327271,10.95310104,9.789364801,8.223734932,5.935098948,4.59449448,15.3174782,9.889863264,9.1442202,8.266928329,7.175025012,5.591646901,4.03428218,2.995885659,3.0,0.314814815,91.67,0.563518576,-0.142813412,-0.124063048,0.102924183,-0.129611453,0.0,0.0,0.083333333,0.360397973,0.972592452,0.0,0.0,0.083333333,0.313852045,0.713918015,0.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,6.926163462,13.13163422,20.92030079,5.017304009,8.95782568,13.10457767,0.254501971,4.0,29.87234518,30.66045989,48.65673582,60.42748078,62.64183954,2599.05,19.32223543,6.805293006,2.703673469,0.0,2263.893125,2868.02949,4599.413581,5151.710489,4596.067814,29.0,8.2109586
Aldosterone,-4.522878745280337,3.22,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1436.0,56.0,2.589570774,0.201184464,0.956273786,0.166250657,1.903437922,0.170103454,0.723086436,0.127521397,0.761904762,54.0,0.0,0.0,2.457606667,2.265327594,0.894427191,11.28130506,25.21465919,7.002074367,9.050330552,6.788339318,0.25,1.498948191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118,1.249924,97.0165,1.0,0.0,8.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7158077,16.0089239,-0.420791535,0.339639894,4.482173281,12.68194248,0.0,0.761904762,0.5,1.0,33.483796,355.7515997,496.0,5.857980995,2.064356087,4.0,0.0,0.257,59.640204,0.0,150.0,53.25092942,2.04811267,12.56720382,12.56720382,0.0,18.68986997,12.36919303,11.79327271,10.95310104,9.789364801,8.223734932,5.935098948,4.59449448,15.3174782,9.889863264,9.1442202,8.266928329,7.175025012,5.591646901,4.03428218,2.995885659,3.0,0.314814815,91.67,0.563518576,-0.142813412,-0.124063048,0.102924183,-0.129611453,0.0,0.0,0.083333333,0.360397973,0.972592452,0.0,0.0,0.083333333,0.313852045,0.713918015,0.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,6.926163462,13.13163422,20.92030079,5.017304009,8.95782568,13.10457767,0.254501971,4.0,29.87234518,30.66045989,48.65673582,60.42748078,62.64183954,2599.05,19.32223543,6.805293006,2.703673469,0.0,2263.893125,2868.02949,4599.413581,5151.710489,4596.067814,29.0,8.2109586
Aldosterone,-4.012333735073725,3.22,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1436.0,56.0,2.589570774,0.201184464,0.956273786,0.166250657,1.903437922,0.170103454,0.723086436,0.127521397,0.761904762,54.0,0.0,0.0,2.457606667,2.265327594,0.894427191,11.28130506,25.21465919,7.002074367,9.050330552,6.788339318,0.25,1.498948191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118,1.249924,97.0165,1.0,0.0,8.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7158077,16.0089239,-0.420791535,0.339639894,4.482173281,12.68194248,0.0,0.761904762,0.5,1.0,33.483796,355.7515997,496.0,5.857980995,2.064356087,4.0,0.0,0.257,59.640204,0.0,150.0,53.25092942,2.04811267,12.56720382,12.56720382,0.0,18.68986997,12.36919303,11.79327271,10.95310104,9.789364801,8.223734932,5.935098948,4.59449448,15.3174782,9.889863264,9.1442202,8.266928329,7.175025012,5.591646901,4.03428218,2.995885659,3.0,0.314814815,91.67,0.563518576,-0.142813412,-0.124063048,0.102924183,-0.129611453,0.0,0.0,0.083333333,0.360397973,0.972592452,0.0,0.0,0.083333333,0.313852045,0.713918015,0.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,6.926163462,13.13163422,20.92030079,5.017304009,8.95782568,13.10457767,0.254501971,4.0,29.87234518,30.66045989,48.65673582,60.42748078,62.64183954,2599.05,19.32223543,6.805293006,2.703673469,0.0,2263.893125,2868.02949,4599.413581,5151.710489,4596.067814,29.0,8.2109586
Aldosterone,-4.748357908858641,3.22,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1436.0,56.0,2.589570774,0.201184464,0.956273786,0.166250657,1.903437922,0.170103454,0.723086436,0.127521397,0.761904762,54.0,0.0,0.0,2.457606667,2.265327594,0.894427191,11.28130506,25.21465919,7.002074367,9.050330552,6.788339318,0.25,1.498948191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118,1.249924,97.0165,1.0,0.0,8.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7158077,16.0089239,-0.420791535,0.339639894,4.482173281,12.68194248,0.0,0.761904762,0.5,1.0,33.483796,355.7515997,496.0,5.857980995,2.064356087,4.0,0.0,0.257,59.640204,0.0,150.0,53.25092942,2.04811267,12.56720382,12.56720382,0.0,18.68986997,12.36919303,11.79327271,10.95310104,9.789364801,8.223734932,5.935098948,4.59449448,15.3174782,9.889863264,9.1442202,8.266928329,7.175025012,5.591646901,4.03428218,2.995885659,3.0,0.314814815,91.67,0.563518576,-0.142813412,-0.124063048,0.102924183,-0.129611453,0.0,0.0,0.083333333,0.360397973,0.972592452,0.0,0.0,0.083333333,0.313852045,0.713918015,0.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,6.926163462,13.13163422,20.92030079,5.017304009,8.95782568,13.10457767,0.254501971,4.0,29.87234518,30.66045989,48.65673582,60.42748078,62.64183954,2599.05,19.32223543,6.805293006,2.703673469,0.0,2263.893125,2868.02949,4599.413581,5151.710489,4596.067814,29.0,8.2109586
Cortisone,-5.0,3.22,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1425.0,59.0,3.170365094,0.321975275,1.781446064,0.557566756,2.235169641,0.243652616,1.035466432,0.282298082,0.761904762,54.0,0.0,0.166666667,4.43919175,3.997196506,2.318983764,9.152369233,20.19672217,8.84229786,6.866435626,8.00386813,1.10520945,1.642784601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0342,1.06956964,96.6997,2.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71568149,16.0089594,-0.414440989,0.370902502,4.529471067,12.64502667,0.0,0.761904762,0.5,1.0,33.483796,355.7515997,496.0,5.857980995,1.859346371,4.0,0.0,0.14,59.640204,0.0,154.0,52.97222991,2.037393458,12.55549483,12.55549483,0.0,18.90541292,12.17050462,12.32008542,11.54020407,9.71610736,7.819332562,5.811462435,4.43084756,15.58542739,9.803619654,9.380845364,8.411492938,6.976356762,5.313317701,3.870424957,2.797157561,2.0,0.314814815,91.67,0.56470144,-0.104477781,-0.209514652,0.065376324,0.016719514,0.0,0.0,0.072168784,0.425023735,1.116645258,0.0,0.0,0.072168784,0.344997489,0.781025898,0.0,0.0,4.0,1.0,3.0,7.0,4.0,2.0,8.85081559,15.53077528,24.76523262,5.839662141,9.809733181,14.27658836,0.254501971,4.0,29.87234518,30.66045989,51.32091977,64.86613377,60.42003265,2599.05,19.32223543,6.25,2.486019891,0.0,2288.5604,2908.66438,4750.539596,5325.088049,4509.977794,29.0,8.212838564
cortisone,-3.8239087409443187,3.22,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1425.0,59.0,3.170365094,0.321975275,1.781446064,0.557566756,2.235169641,0.243652616,1.035466432,0.282298082,0.761904762,54.0,0.0,0.166666667,4.43919175,3.997196506,2.318983764,9.152369233,20.19672217,8.84229786,6.866435626,8.00386813,1.10520945,1.642784601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0342,1.06956964,96.6997,2.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71568149,16.0089594,-0.414440989,0.370902502,4.529471067,12.64502667,0.0,0.761904762,0.5,1.0,33.483796,355.7515997,496.0,5.857980995,1.859346371,4.0,0.0,0.14,59.640204,0.0,154.0,52.97222991,2.037393458,12.55549483,12.55549483,0.0,18.90541292,12.17050462,12.32008542,11.54020407,9.71610736,7.819332562,5.811462435,4.43084756,15.58542739,9.803619654,9.380845364,8.411492938,6.976356762,5.313317701,3.870424957,2.797157561,2.0,0.314814815,91.67,0.56470144,-0.104477781,-0.209514652,0.065376324,0.016719514,0.0,0.0,0.072168784,0.425023735,1.116645258,0.0,0.0,0.072168784,0.344997489,0.781025898,0.0,0.0,4.0,1.0,3.0,7.0,4.0,2.0,8.85081559,15.53077528,24.76523262,5.839662141,9.809733181,14.27658836,0.254501971,4.0,29.87234518,30.66045989,51.32091977,64.86613377,60.42003265,2599.05,19.32223543,6.25,2.486019891,0.0,2288.5604,2908.66438,4750.539596,5325.088049,4509.977794,29.0,8.212838564
Estrone,-2.4436974992327127,3.22,4.0,1.0,1.0,1.0,0.0,1.0,3.0,724.0,39.0,1.878331454,0.11785113,0.772274284,0.131445856,1.331185293,0.102062073,0.470352477,0.071129449,0.611111111,42.0,6.0,0.0,2.202594807,1.840308123,1.0,10.50262991,23.17814628,3.043717325,7.76200963,2.675123622,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7732,14.23703824,78.7956,1.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68503465,16.00609342,-0.400562376,0.319806887,5.03253745,11.50573672,0.0,0.611111111,0.5,1.0,25.008554,266.5929658,336.0,5.523561956,4.083585807,0.0,0.0,3.625,47.953446,0.0,118.0,41.76699607,2.088349804,5.093016508,5.093016508,0.0,13.90541292,9.593172146,9.376602665,8.690783635,7.350631492,6.133622864,4.646942739,3.579089772,12.06220419,7.945186794,7.216626093,6.419141686,5.339786648,4.156439199,2.903828093,2.109729795,0.0,0.404761905,37.3,0.175470318,-0.044215889,-0.039348325,0.000919,0.00803653,0.0,0.0,0.083333333,0.445414214,0.911968554,0.0,0.0,0.072168784,0.308164719,0.586625897,0.0,0.0,5.0,2.0,1.0,6.0,3.0,1.0,5.091901005,8.333475527,12.12761073,3.472865764,5.724520129,7.879089088,0.138065319,7.0,21.54893807,23.66418395,37.32836791,40.99255186,31.32836791,1645.02,13.64839319,4.75,1.960840157,6.0,1645.481823,2046.026742,3170.228706,3243.314073,2442.021992,23.0,8.511861506
Estrone,-2.4436974992327127,3.22,4.0,1.0,1.0,1.0,0.0,1.0,3.0,724.0,39.0,1.878331454,0.11785113,0.772274284,0.131445856,1.331185293,0.102062073,0.470352477,0.071129449,0.611111111,42.0,6.0,0.0,2.202594807,1.840308123,1.0,10.50262991,23.17814628,3.043717325,7.76200963,2.675123622,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7732,14.23703824,78.7956,1.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68503465,16.00609342,-0.400562376,0.319806887,5.03253745,11.50573672,0.0,0.611111111,0.5,1.0,25.008554,266.5929658,336.0,5.523561956,4.083585807,0.0,0.0,3.625,47.953446,0.0,118.0,41.76699607,2.088349804,5.093016508,5.093016508,0.0,13.90541292,9.593172146,9.376602665,8.690783635,7.350631492,6.133622864,4.646942739,3.579089772,12.06220419,7.945186794,7.216626093,6.419141686,5.339786648,4.156439199,2.903828093,2.109729795,0.0,0.404761905,37.3,0.175470318,-0.044215889,-0.039348325,0.000919,0.00803653,0.0,0.0,0.083333333,0.445414214,0.911968554,0.0,0.0,0.072168784,0.308164719,0.586625897,0.0,0.0,5.0,2.0,1.0,6.0,3.0,1.0,5.091901005,8.333475527,12.12761073,3.472865764,5.724520129,7.879089088,0.138065319,7.0,21.54893807,23.66418395,37.32836791,40.99255186,31.32836791,1645.02,13.64839319,4.75,1.960840157,6.0,1645.481823,2046.026742,3170.228706,3243.314073,2442.021992,23.0,8.511861506
"1,2,4-Benzenetriol",-3.9,1.79,1.0,1.0,1.0,1.0,0.0,0.0,1.0,84.0,10.0,0.760079655,0.0,0.166666667,0.0,0.203635044,0.0,0.016666667,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,1.650963624,5.853800636,0.0,1.650963624,0.0,0.0,0.766309432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0278,1.05637284,31.1403,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69961066,16.00015446,-0.405065551,0.365940982,4.676873866,7.255613506,0.0,0.0,0.4,0.666666667,6.559242,107.5372118,67.0,4.169925001,0.578267778,0.0,0.0,0.965,16.966758,0.0,42.0,17.38201719,1.931335244,7.47746793,7.47746793,0.0,6.853371151,4.198377303,3.872792013,2.860366219,1.816762979,1.33160016,0.504473335,0.068041382,4.573691594,2.408854265,1.673017279,0.95899725,0.511826002,0.293006738,0.072883056,0.004811252,0.0,0.4,60.69,0.179698586,-0.033152852,-0.046982853,-0.020989972,-0.024622882,0.0,0.0,0.0,0.068041382,0.204124145,0.0,0.0,0.0,0.024056261,0.032274861,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.478278096,1.558028605,2.075933094,0.282114235,0.241436642,0.231088597,0.481545539,9.0,11.32340711,9.996275931,13.99255186,12.7670209,5.770744967,153.03,7.111111111,2.722222222,1.704142012,6.0,349.724863,381.6603705,476.8844241,357.1706607,119.569301,9.0,6.631642094
Heptanol,-1.424812155072339,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,2.00414513,0.0,0.0,7.473424937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3393,5.47232449,35.9375,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81443473,15.99794613,-0.423142774,0.158606655,3.925923996,7.166632534,0.0,1.0,0.428571429,0.75,17.491312,138.4185778,74.0,3.807354922,2.468457647,8.0,0.0,2.558,23.790688,0.0,26.0,14.83110795,1.853888494,2.407741475,2.407741475,0.0,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,5.689854283,3.523334547,2.13782036,1.261667274,0.715356789,0.380833637,0.180901699,0.055901699,5.0,0.0,20.23,0.083400372,-0.033630745,-0.007445533,-0.000603,-2.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174216155,0.0,8.774469036,7.332091977,6.332091977,5.332091977,4.332091977,473.01,8.0,7.0,7.2,0.0,301.117352,277.5724496,238.5479964,191.8873512,142.9631547,7.0,9.877359013
Heptanol,-1.494850021680094,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,2.00414513,0.0,0.0,7.473424937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3393,5.47232449,35.9375,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81443473,15.99794613,-0.423142774,0.158606655,3.925923996,7.166632534,0.0,1.0,0.428571429,0.75,17.491312,138.4185778,74.0,3.807354922,2.468457647,8.0,0.0,2.558,23.790688,0.0,26.0,14.83110795,1.853888494,2.407741475,2.407741475,0.0,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,5.689854283,3.523334547,2.13782036,1.261667274,0.715356789,0.380833637,0.180901699,0.055901699,5.0,0.0,20.23,0.083400372,-0.033630745,-0.007445533,-0.000603,-2.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174216155,0.0,8.774469036,7.332091977,6.332091977,5.332091977,4.332091977,473.01,8.0,7.0,7.2,0.0,301.117352,277.5724496,238.5479964,191.8873512,142.9631547,7.0,9.877359013
n-heptanol,-1.494850021680094,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,2.00414513,0.0,0.0,7.473424937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3393,5.47232449,35.9375,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81443473,15.99794613,-0.423142774,0.158606655,3.925923996,7.166632534,0.0,1.0,0.428571429,0.75,17.491312,138.4185778,74.0,3.807354922,2.468457647,8.0,0.0,2.558,23.790688,0.0,26.0,14.83110795,1.853888494,2.407741475,2.407741475,0.0,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,5.689854283,3.523334547,2.13782036,1.261667274,0.715356789,0.380833637,0.180901699,0.055901699,5.0,0.0,20.23,0.083400372,-0.033630745,-0.007445533,-0.000603,-2.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174216155,0.0,8.774469036,7.332091977,6.332091977,5.332091977,4.332091977,473.01,8.0,7.0,7.2,0.0,301.117352,277.5724496,238.5479964,191.8873512,142.9631547,7.0,9.877359013
2-(Acetylamino)fluorene,-1.1075666644266338,2.89,3.0,2.0,1.0,2.0,0.0,1.0,2.0,513.0,25.0,1.217871296,0.0,0.191638319,0.0,0.533857118,0.0,0.079758898,0.0,0.133333333,30.0,12.0,0.0,1.269409395,1.481647248,0.0,9.72837314,17.99529739,0.0,5.931661303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6134,6.82985956,67.9556,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67758902,16.00595834,-0.378514897,0.336088436,4.272845633,10.24030126,0.0,0.133333333,0.444444444,0.8,15.829691,210.458628,261.0,5.247927513,3.222462026,3.0,0.0,3.16,36.970309,0.0,92.0,35.18044181,2.069437754,5.377972517,2.40425855,2.973713967,11.82806265,8.237183443,7.676654886,6.077881229,5.581589881,4.520997637,3.183924539,2.466871598,9.656806956,5.726615067,4.387036213,3.114049102,2.426143127,1.664515777,0.994816133,0.641013297,2.0,0.433333333,29.1,0.16432389,-0.081776571,0.008603906,-0.001004188,-0.015175279,0.0,0.0,0.07856742,0.373596937,0.628175248,0.0,0.0,0.044194174,0.153896112,0.219937631,0.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0,2.377355902,4.29504179,5.760071777,1.038639625,1.59942458,1.825123078,0.13043495,15.0,18.13444934,19.66445584,28.38409937,25.66445584,21.99654782,752.02,12.05540166,4.938271605,2.419753086,12.0,1160.483116,1384.437498,1994.052229,1816.397131,1387.400114,19.0,4.007811496
2-(Acetylamino)fluorene,-1.1605219760218215,2.89,3.0,2.0,1.0,2.0,0.0,1.0,2.0,513.0,25.0,1.217871296,0.0,0.191638319,0.0,0.533857118,0.0,0.079758898,0.0,0.133333333,30.0,12.0,0.0,1.269409395,1.481647248,0.0,9.72837314,17.99529739,0.0,5.931661303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6134,6.82985956,67.9556,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67758902,16.00595834,-0.378514897,0.336088436,4.272845633,10.24030126,0.0,0.133333333,0.444444444,0.8,15.829691,210.458628,261.0,5.247927513,3.222462026,3.0,0.0,3.16,36.970309,0.0,92.0,35.18044181,2.069437754,5.377972517,2.40425855,2.973713967,11.82806265,8.237183443,7.676654886,6.077881229,5.581589881,4.520997637,3.183924539,2.466871598,9.656806956,5.726615067,4.387036213,3.114049102,2.426143127,1.664515777,0.994816133,0.641013297,2.0,0.433333333,29.1,0.16432389,-0.081776571,0.008603906,-0.001004188,-0.015175279,0.0,0.0,0.07856742,0.373596937,0.628175248,0.0,0.0,0.044194174,0.153896112,0.219937631,0.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0,2.377355902,4.29504179,5.760071777,1.038639625,1.59942458,1.825123078,0.13043495,15.0,18.13444934,19.66445584,28.38409937,25.66445584,21.99654782,752.02,12.05540166,4.938271605,2.419753086,12.0,1160.483116,1384.437498,1994.052229,1816.397131,1387.400114,19.0,4.007811496
m-Nitrophenol; 3-nitrophenol,-2.248482948553936,1.68,1.0,1.0,1.0,1.0,0.0,0.0,1.0,117.0,11.0,0.788675135,0.0,0.166666667,0.0,0.192386729,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,3.532775529,5.111544834,0.0,0.5,0.0,0.0,0.814325285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457,2.122849,35.0768,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69981643,16.0236975,-0.397523175,0.360831832,3.601702509,7.645958501,0.0,0.0,0.4,0.666666667,6.722035,115.8975133,80.0,4.321928095,1.361801609,3.0,0.0,1.508,17.399965,0.0,46.0,19.3855106,1.93855106,10.34518119,7.328020585,3.017160606,7.560477932,4.698377303,4.275874227,2.919765781,2.086528266,1.572102901,0.60309862,0.328532853,4.871969744,2.687202528,1.814239071,1.077232037,0.646251831,0.348209136,0.107121203,0.022248807,1.0,0.4,63.37,0.11454749,-0.009528519,-0.007814731,-0.032540064,-0.048640519,0.0,0.0,0.0,0.083333333,0.131445856,0.0,0.0,0.0,0.027777778,0.032064455,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.389604841,1.522807795,1.981792292,0.255380417,0.279742107,0.225344337,0.455810929,10.0,12.68338741,11.6051971,15.43520081,13.32491573,9.380103416,135.04,8.1,3.408284024,2.285714286,6.0,375.2524418,411.2935637,506.474077,394.7754756,198.7319028,10.0,8.68762928
