SMILES,Texpi,logkpl
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,310,-3.7350000000000003
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310,-2.52
CO,298,-3.3
CO,303,-2.8
CO,310,-3.3
COC(=O)C1=CC=C(C=C1)O,298,-2.03
COC(=O)C1=CC=C(C=C1)O,305,-2.02
COC(=O)C1=CC=C(C=C1)O,310,-1.67
COC(=O)C1=CC=CC=C1C(=O)OC,305,-1.6
COC(=O)C1=CC=CC=C1O,305,-1.44
COC(=O)C1=CN=CC=C1,310,-3.295
COC(=O)CC1=CC=C(C=C1)O,310,-1.7
COC(C(C=O)O)C(C(CO)O)O,310,-3.68
COC1=C(C=CC(=C1)CC=C)O,305,-1.5750000000000002
COS(=O)(=O)C,305,-1.9899999999999998
C[N+](C)(C)C1=CC2=C(C=C1)C=CC(=C2N=NC3=CC=CC=C3OC)O,305,-2.77
